answer;question_id;point
"< 2 Meter PC2000/3000 class /100 T- 150 T (Posisi track excavator dibawah level tinggi vessel DT, tidak pada keadaan double bench) ; Untuk soft materials > tinggi kabin loader (7,5 meter) ; Untuk soft materials, jarak face penggalian dengan unit alat gali (< 7 meter)";1;1
2 - 3 Meter PC2000/3000 class / 100 T- 150 T (Posisi track excavator dibawah level tinggi vessel DT, tidak pada keadaan double bench);1;2
3 - 4 Meter PC2000/3000 class /100 T- 150 T (Posisi track excavator dibawah level tinggi vessel DT, tidak pada keadaan double bench);1;3
"? 4 Meter PC2000/3000 class /100 T- 150 T (Posisi track excavator selevel dengan tinggi vessel DT, tidak pada keadaan double bench) ; Untuk soft materials setinggi kabin loader (7,5 meter) ; Untuk soft materials, jarak face penggalian dengan unit alat gali (7 meter)";1;4
Kondisi Lantai Kerja Undulasi  ? 30 cm;2;1
Kondisi Lantai Kerja Undulasi 20 cm - 30 cm;2;2
Kondisi Lantai Kerja Undulasi 20-10 cm;2;3
Kondisi Lantai Kerja Undulasi ?10 cm;2;4
"Terdapat genangan air tepat di titik penggalian (loading point) dan atau >10% area ; Tidak terdapat contour drainage/arah aliran air";3;1
"Terdapat genangan air ?10% area ; Tidak terdapat contour drainage/arah aliran air";3;2
"Tidak terdapat genangan air ; Arah aliran air (contour drainage) 1-2% terbentuk sebagian";3;3
"Tidak terdapat genangan air ; Terdapat arah aliran air (contour drainage) 1-2% dan terencana dalam peta/ desain ; terbentuk jalur paritan air";3;4
Tidak terdapat patok batas acuan penggalian & penggalian tidak lurus;4;1
"Terdapat patok batas acuan penggalian dengan jarak >20 m ; Bentuk penggalian tidak lurus mengikuti acuan";4;2
"Terdapat patok batas acuan penggalian dengan jarak >10m (maks 20m) ; Penggalian terbentuk lurus sesuai patok acuan";4;3
"Terdapat patok batas acuan penggalian setiap 10 m dan berfungsi dengan baik ; Penggalian terbentuk lurus sesuai patok acuan";4;4
<2x lebar DT;5;1
2-3x lebar DT;5;2
3-4x lebar DT;5;3
? 4x lebar DT;5;4
"Tidak ada Grade Box / Alat Kontrol Elevasi atau tidak Berfungsi ; Grade Box / Alat Kontrol Elevasi tidak tervalidasi oleh PIC (pengawas dan survey tidak melakukan validasi) ; Elevasi lantai kerja tidak sesuai rencana";6;1
"Tersedia Grade Box / Alat Kontrol Elevasi : Grade box tidak dalam kondisi baik , Lokasi gradebox tidak aman dan/atau tidak dibarikade , Jarak dengan Front penggalian >50m ; Grade Box / Alat Kontrol Elevasi tervalidasi oleh salah satu PIC (pengawas atau survey) , Form validasi dalam kondisi rusak dan/ tidak terbaca dengan jelas ; Elevasi lantai kerja sesuai rencana";6;2
"Tersedia Grade Box / Alat Kontrol Elevasi : Lokasi gradebox tidak aman dan/atau tidak dibarikade , Jarak dengan Front penggalian 20-50m ; Grade Box / Alat Kontrol Elevasi tervalidasi oleh PIC (Pengawas dan survey) , Form validasi dalam kondisi rusak dan/ tidak terbaca dengan jelas ; Elevasi lantai kerja sesuai rencana (on grade) , Acuan benang ukur antara gradebox dan unit hauler terbaca";6;3
Tersedia Grade Box / Alat Kontrol Elevasi : Kondisi grade box dalam keadaan baik , Lokasi gradebox aman dan dibarikade , Jarak dengan Front penggalian 20-50m Grade Box / Alat Kontrol Elevasi tervalidasi oleh PIC (Pengawas dan survey) , Form validasi dalam kondisi baik dan/ mudah terbaca , Elevasi lantai kerja sesuai rencana (on grade) , Acuan benang ukur antara gradebox dan unit hauler terbaca;6;4
Terdapat material tertinggal/tidak terangkut;7;1
Kondisi front rapi , terdapat spoil atau material yang tertinggal/tidak angkut ?50m3 (?1xload DT 100ton);7;2
Kondisi front rapi , terdapat spoil atau material yang tertinggal/tidak angkut ?20m3;7;3
Kondisi front rapi ,tidak terdapat spoil atau material yang tertinggal/tidak angkut;7;4
Tidak terdapat penerangan di loading point;8;1
"Terdapat penerangan <3 lux pada jarak maksimal 50 meter dan/atau ; Towerlamp tidak dalam kondisi baik";8;2
"Penerangan memadai ?3 lux pada jarak < 50 meter ; Towerlamp dalam kondisi baik ( lengkap dan semua lampu menyala)";8;3
"Penerangan memadai ?3 lux pada jarak maksimal 50 meter ; Towerlamp dalam kondisi baik ( lengkap dan semua lampu menyala)";8;4
Terdapat Batter Peg dengan jarak >25 meter , Terdapat salah satu batter peg yang memiliki sudut kemiringan tidak sesuai rencana/design , batter peg tidak rusak dan berfungsi baik;9;1
Terdapat Batter Peg dengan jarak >25 meter , Semua batter peg memiliki sudut kemiringan sesuai rencana/design ,batter peg tidak rusak dan berfungsi baik;9;2
Terdapat Batter Peg setiap 25 meter , Terdapat salah satu batter peg yang memiliki sudut kemiringan tidak sesuai rencana/design , batter peg tidak rusak dan berfungsi baik;9;3
Terdapat Batter Peg setiap 25 meter , Semua batter peg memiliki sudut kemiringan sesuai rencana/design , batter peg tidak rusak dan berfungsi baik;9;4
Kemiringan lereng tidak sesuai design / rencana,;10;1
Kemiringan lereng  sesuai design / rencana, dinding penggalian temporary tidak rapi, berantakan;10;2
Dinding lereng final atau temporary dalam keadaan rapi, kemiringan sesuai design dan bentuk lurus sesuai patok acuan , ada patok acuan di atasnya , Tidak terdapat material lepas pada lereng , Tidak terdapat lereng gantung (over hangslope);10;3
"Dinding lereng final atau temporary dalam keadaan rapi, kemiringan sesuai design dan bentuk lurus sesuai patok acuan , ada patok acuan di atasnya ; Tidak terdapat material lepas pada lereng ; Tidak terdapat lereng gantung (over hangslope)";10;4
Tidak terdapat tanggul pengaman dan/atau Terdapat tanggul pengaman dengan tinggi kurang dari 3/4  ban Truk terbesar dengan panjang segment >7m pada front pinggir lereng.;11;1
Terdapat tanggul pengaman dengan tinggi kurang dari 3/4  ban Truk terbesar dengan panjang segment antara 1.5-7m;11;2
Terdapat tanggul  standar, ?3/4 tinggi ban Truk terbesar , Tanggul tidak rapi terbentuk;11;3
Terdapat tanggul  standar , ?3/4 tinggi ban Truk terbesar , Tanggul rapi dan terbentuk;11;4
Dropcut atau potensi genangan air;12;1
Tidak Dropcut atau ideal;12;4
Lebar Front kurang dari 2.5x unit terbesar;13;1
Lebar Front lebih dari 2.5x unit terbesar;13;4
Tinggi bench atau jenjang tidak sesuai;14;1
Tinggi bench atau jenjang batubara exc 1250 3 Meter dan Exc 400 2 meter ( batubara tebal > 2m );14;4
Tidak ada grade box atau pita acuan;15;1
Tidak update atau tidak berfungsi;15;2
Posisi salah tapi update;15;3
Sesuai dan berfungsi;15;4
Undulating;16;1
Undulating dan ada kantungan air tidak ter-maintain;16;2
Undulating tapi drainase terjaga;16;3
Flat;16;4
Grade front tidak terbentuk;17;1
Grade front terbentuk untuk cacthment air mengarah ke sump;17;4
Tidak ada paritan;18;1
