id;created_by;area;total_score;created_at
1;91;2;89.50;2023-01-01
2;27;2;94.00;2023-01-01
3;27;2;100.00;2023-01-01
4;166;2;94.00;2023-01-01
5;91;2;95.50;2023-01-02
6;27;2;88.00;2023-01-02
7;27;2;91.00;2023-01-02
8;27;2;100.00;2023-01-03
9;169;2;90.00;2023-01-03
10;169;2;100.00;2023-01-03
11;118;2;93.00;2023-01-01
12;118;2;97.00;2023-01-02
13;169;2;100.00;2023-01-04
14;48;2;89.50;2023-01-06
15;169;2;100.00;2023-01-06
16;169;2;100.00;2023-01-06
17;118;2;93.00;2023-01-04
18;118;2;93.00;2023-01-05
19;169;2;100.00;2023-01-07
20;167;2;100.00;2023-01-09
21;166;2;100.00;2023-01-09
22;76;2;83.50;2023-01-08
23;167;2;92.50;2023-01-10
24;167;2;95.50;2023-01-10
25;166;2;94.00;2023-01-10
26;118;2;93.00;2023-01-06
27;166;2;85.00;2023-01-10
28;118;2;93.00;2023-01-06
29;118;2;97.00;2023-01-07
30;118;2;93.00;2023-01-08
31;118;2;93.00;2023-01-09
32;169;2;100.00;2023-01-10
33;54;2;94.00;2023-01-10
34;166;2;94.00;2023-01-11
35;167;2;100.00;2023-01-10
36;118;2;93.00;2023-01-11
37;169;2;100.00;2023-01-11
38;167;2;100.00;2023-01-11
39;166;2;100.00;2023-01-12
40;166;2;100.00;2023-01-12
41;118;2;97.00;2023-01-12
42;118;2;91.00;2023-01-12
43;118;2;93.00;2023-01-12
44;118;2;93.00;2023-01-12
45;118;2;97.00;2023-01-12
46;5;2;97.00;2023-01-12
47;6;2;89.50;2023-01-13
48;167;2;100.00;2023-01-12
49;166;2;94.00;2023-01-13
50;169;2;100.00;2023-01-13
51;167;2;97.00;2023-01-13
52;166;2;94.00;2023-01-14
53;169;2;100.00;2023-01-14
54;169;2;100.00;2023-01-14
55;169;2;100.00;2023-01-14
56;5;2;100.00;2023-01-15
57;167;2;100.00;2023-01-14
58;169;2;100.00;2023-01-15
59;169;2;100.00;2023-01-15
60;118;2;97.00;2023-01-13
61;118;2;97.00;2023-01-13
62;118;2;94.00;2023-01-13
63;118;2;97.00;2023-01-14
64;118;2;89.50;2023-01-14
65;118;2;89.50;2023-01-14
66;166;2;94.00;2023-01-15
67;167;2;100.00;2023-01-16
68;169;2;100.00;2023-01-16
69;169;2;100.00;2023-01-16
70;169;2;100.00;2023-01-16
71;118;2;93.00;2023-01-15
72;118;2;87.00;2023-01-15
73;118;2;97.00;2023-01-15
74;118;2;97.00;2023-01-15
75;166;2;88.00;2023-01-16
76;167;2;100.00;2023-01-17
77;169;2;94.00;2023-01-17
78;169;2;94.00;2023-01-17
79;118;2;97.00;2023-01-16
80;118;2;93.00;2023-01-16
81;118;2;97.00;2023-01-16
82;118;2;93.00;2023-01-16
83;166;2;88.00;2023-01-17
84;166;2;85.00;2023-01-18
85;118;2;97.00;2023-01-17
86;118;2;85.50;2023-01-17
87;118;2;77.50;2023-01-17
88;118;2;93.00;2023-01-17
89;169;2;94.00;2023-01-18
90;169;2;100.00;2023-01-18
91;169;2;100.00;2023-01-18
92;166;2;94.00;2023-01-20
93;167;2;100.00;2023-01-21
94;5;2;94.00;2023-01-20
95;118;2;93.00;2023-01-18
96;118;2;89.50;2023-01-18
97;118;2;93.00;2023-01-19
98;118;2;83.50;2023-01-19
99;118;2;83.50;2023-01-19
100;118;2;97.00;2023-01-19
101;118;2;97.00;2023-01-19
102;61;2;94.00;2023-01-20
103;166;2;94.00;2023-01-20
104;167;2;100.00;2023-01-21
105;166;2;94.00;2023-01-21
106;118;2;83.50;2023-01-21
107;118;2;83.50;2023-01-21
108;118;2;97.00;2023-01-21
109;118;2;87.00;2023-01-21
110;118;2;83.50;2023-01-21
111;118;2;83.50;2023-01-21
112;118;2;97.00;2023-01-21
113;118;2;87.00;2023-01-21
114;118;2;97.00;2023-01-21
115;166;2;88.00;2023-01-21
116;61;2;85.50;2023-01-21
117;167;2;95.50;2023-01-22
118;166;2;94.00;2023-01-23
119;61;2;85.00;2023-01-22
120;5;2;100.00;2023-01-23
121;118;2;97.00;2023-01-23
122;118;2;91.00;2023-01-23
123;118;2;93.00;2023-01-23
124;118;2;93.00;2023-01-23
125;61;2;92.50;2023-01-23
126;167;2;95.50;2023-01-23
127;166;2;85.00;2023-01-24
128;118;2;93.00;2023-01-24
129;118;2;97.00;2023-01-24
130;118;2;91.00;2023-01-24
131;118;2;93.00;2023-01-24
132;167;2;95.50;2023-01-24
133;167;2;95.50;2023-01-25
134;166;2;88.00;2023-01-26
135;118;2;97.00;2023-01-25
136;118;2;93.00;2023-01-25
137;118;2;93.00;2023-01-25
138;118;2;93.00;2023-01-25
139;118;2;85.50;2023-01-25
140;167;2;100.00;2023-01-26
141;166;2;94.00;2023-01-27
142;61;2;98.50;2023-01-27
143;167;2;100.00;2023-01-27
144;61;2;98.50;2023-01-28
145;166;2;88.00;2023-01-28
146;27;2;94.00;2023-01-28
147;27;2;94.00;2023-01-28
148;27;2;91.00;2023-01-28
149;118;2;89.50;2023-01-27
150;118;2;87.00;2023-01-27
151;118;2;97.00;2023-01-27
152;118;2;93.00;2023-01-27
153;167;2;100.00;2023-01-28
154;91;2;95.50;2023-01-30
155;118;2;97.00;2023-01-28
156;118;2;87.00;2023-01-28
157;118;2;93.00;2023-01-28
158;118;2;93.00;2023-01-30
159;167;2;95.50;2023-01-30
160;118;2;87.00;2023-01-29
161;118;2;85.50;2023-01-29
162;118;2;97.00;2023-01-29
163;118;2;93.00;2023-01-29
164;118;2;90.00;2023-01-30
165;118;2;97.00;2023-01-30
166;97;2;55.75;2023-01-30
167;97;2;89.50;2023-01-30
168;27;2;100.00;2023-02-02
169;27;2;100.00;2023-02-02
170;27;2;83.50;2023-02-02
171;167;2;92.50;2023-02-02
172;91;2;100.00;2023-02-02
173;118;2;83.50;2023-02-02
174;118;2;93.00;2023-02-02
175;118;2;85.50;2023-02-02
176;118;2;93.00;2023-02-02
177;118;2;93.00;2023-02-02
178;97;2;80.50;2023-01-31
179;97;2;79.75;2023-01-31
180;27;2;95.50;2023-02-05
181;5;2;87.00;2023-02-05
182;27;2;85.00;2023-02-06
183;27;2;77.50;2023-02-06
184;167;2;100.00;2023-01-05
185;27;2;100.00;2023-02-07
186;167;2;95.50;2023-02-06
187;5;2;90.00;2023-02-07
188;5;2;93.00;2023-02-08
189;167;2;95.50;2023-02-08
190;169;2;100.00;2023-02-08
191;169;2;100.00;2023-02-08
192;169;2;100.00;2023-02-08
193;169;2;100.00;2023-02-08
194;91;2;95.50;2023-02-09
195;27;2;100.00;2023-02-09
196;167;2;100.00;2023-02-09
197;169;2;100.00;2023-02-10
198;169;2;100.00;2023-02-10
199;169;2;100.00;2023-02-10
200;5;2;94.00;2023-02-10
201;167;2;100.00;2023-02-09
202;91;2;97.00;2023-02-11
203;169;2;100.00;2023-02-11
204;169;2;100.00;2023-02-11
205;169;2;100.00;2023-02-11
206;27;2;94.00;2023-02-11
207;27;2;91.00;2023-02-11
208;167;2;100.00;2023-02-11
209;169;2;100.00;2023-02-12
210;27;2;91.00;2023-02-12
211;169;2;100.00;2023-02-12
212;27;2;94.00;2023-02-12
213;6;2;72.00;2023-02-13
214;5;2;94.00;2023-02-12
215;169;2;100.00;2023-02-13
216;27;2;83.50;2023-02-13
217;91;2;95.50;2023-02-13
218;5;2;100.00;2023-02-13
219;169;2;100.00;2023-02-14
220;169;2;100.00;2023-02-14
221;27;2;91.00;2023-02-14
222;27;2;88.00;2023-02-14
223;5;2;100.00;2023-02-14
224;169;2;100.00;2023-02-15
225;169;2;100.00;2023-02-15
226;169;2;100.00;2023-02-15
227;19;2;100.00;2023-02-15
228;6;2;92.50;2023-02-15
229;167;2;100.00;2023-02-16
230;169;2;100.00;2023-02-17
231;91;2;97.00;2023-02-18
232;19;2;100.00;2023-02-17
233;167;2;100.00;2023-02-18
