ID;id_inspection;id_question;id_answer;SCORE
1;1;12;46;40
2;1;13;47;8
3;1;14;50;32
4;1;15;54;24
5;1;16;57;18
6;1;17;60;20
7;1;18;63;32
8;1;19;65;32
9;1;20;67;24
10;1;21;69;24
11;1;22;70;4
12;1;23;73;16
13;1;24;75;28
14;1;25;77;28
15;1;26;79;28
16;2;12;46;40
17;2;13;48;32
18;2;14;50;32
19;2;15;54;24
20;2;16;58;24
21;2;17;60;20
22;2;18;61;8
23;2;19;65;32
24;2;20;67;24
25;2;21;69;24
26;2;22;71;16
27;2;23;73;16
28;2;24;75;28
29;2;25;77;28
30;2;26;79;28
31;3;12;46;40
32;3;13;48;32
33;3;14;50;32
34;3;15;54;24
35;3;16;58;24
36;3;17;60;20
37;3;18;63;32
38;3;19;65;32
39;3;20;67;24
40;3;21;69;24
41;3;22;71;16
42;3;23;73;16
43;3;24;75;28
44;3;25;77;28
45;3;26;79;28
46;4;12;46;40
47;4;13;48;32
48;4;14;50;32
49;4;15;54;24
50;4;16;58;24
51;4;17;60;20
52;4;18;61;8
53;4;19;65;32
54;4;20;67;24
55;4;21;69;24
56;4;22;71;16
57;4;23;73;16
58;4;24;75;28
59;4;25;77;28
60;4;26;79;28
61;5;12;46;40
62;5;13;48;32
63;5;14;50;32
64;5;15;54;24
65;5;16;57;18
66;5;17;60;20
67;5;18;63;32
68;5;19;65;32
69;5;20;67;24
70;5;21;69;24
71;5;22;70;4
72;5;23;73;16
73;5;24;75;28
74;5;25;77;28
75;5;26;79;28
76;6;12;46;40
77;6;13;48;32
78;6;14;50;32
79;6;15;54;24
80;6;16;58;24
81;6;17;60;20
82;6;18;61;8
83;6;19;64;8
84;6;20;67;24
85;6;21;69;24
86;6;22;71;16
87;6;23;73;16
88;6;24;75;28
89;6;25;77;28
90;6;26;79;28
91;7;12;46;40
92;7;13;48;32
93;7;14;50;32
94;7;15;54;24
95;7;16;58;24
96;7;17;60;20
97;7;18;63;32
98;7;19;64;8
99;7;20;67;24
100;7;21;69;24
101;7;22;70;4
102;7;23;73;16
103;7;24;75;28
104;7;25;77;28
105;7;26;79;28
106;8;12;46;40
